,h,A
462,-6.1807456913087675,35.99280006833344
463,-6.001963172191245,36.1941857490017
464,-5.823180653073724,36.39377607087226
465,-5.6443981339562015,36.591603468255954
466,-5.465615614838679,36.78769939237752
467,-5.286833095721158,36.9820943527406
468,-5.1080505766036355,37.17481795625831
469,-4.929268057486114,37.36589894429535
470,-4.750485538368592,37.555365227756816
471,-4.5717030192510695,37.743243920348675
472,-4.392920500133548,37.929561370125334
473,-4.214137981016026,38.11434318943103
474,-4.035355461898504,38.297614283334724
475,-3.856572942780982,38.47939887664974
476,-3.67779042366346,38.65972053962423
477,-3.4990079045459384,38.838602212381346
478,-3.320225385428416,39.01606622818314
479,-3.141442866310894,39.192134335586765
480,-2.9626603471933723,39.36682771955712
481,-2.7838778280758505,39.54016702159547
482,-2.6050953089583286,39.71217235893966
483,-2.4263127898408063,39.882863342888115
484,-2.2475302707232845,40.05225909629584
485,-2.0687477516057626,40.2203782702882
486,-1.8899652324882408,40.387239060234585
487,-1.7111827133707187,40.55285922102191
488,-1.5324001942531968,40.71725608166538
489,-1.353617675135675,40.88044655929101
490,-1.174835156018153,41.04244717252308
491,-0.9960526369006311,41.203274054307116
492,-0.8172701177831091,41.36294296419729
493,-0.6384875986655871,41.52146930013535
494,-0.4597050795480652,41.67886810974681
495,-0.28092256043054326,41.835154101178176
496,-0.10214004131302133,41.99034165349794
497,0.0766424778045006,42.144444826682886
498,0.25542499692202253,42.297477371209226
499,0.4342075160395445,42.44945273726815
500,0.6129900351570664,42.60038408362331
501,0.7917725542745884,42.750284286127034
502,0.9705550733921103,42.8991659459115
503,1.1493375925096323,43.04704139726981
504,1.3281201116271542,43.19392271524104
505,1.506902630744676,43.33982172291288
506,1.685685149862198,43.48474999845484
507,1.86446766897972,43.6287188818935
508,2.043250188097242,43.771739481641895
509,2.2220327072147636,43.91382268079337
510,2.400815226332286,44.05497914319052
511,2.579597745449808,44.19521931927873
512,2.7583802645673297,44.334553451753585
513,2.9371627836848515,44.47299158101123
514,3.1159453028023734,44.61054355040945
515,3.2947278219198957,44.74721901134795
516,3.4735103410374175,44.88302742817512
517,3.6522928601549394,45.01797808292825
518,3.8310753792724612,45.15208007991445
519,4.009857898389983,45.28534235013836
520,4.188640417507505,45.417773655583034
521,4.367422936625027,45.5493825933498
522,4.546205455742549,45.680177599662635
523,4.724987974860071,45.81016695374259
524,4.903770493977593,45.939358781557054
525,5.082553013095115,46.06776105944898
526,5.2613355322126365,46.1953816176506
527,5.440118051330159,46.32222814368585
528,5.618900570447681,46.44830818566616
529,5.7976830895652025,46.57362915548315
530,5.976465608682725,46.698198331902425
531,6.155248127800246,46.822022863561976
532,6.3340306469177685,46.94510977187874
533,6.512813166035291,47.06746595386664
534,6.691595685152812,47.18909818486946
535,6.8703782042703345,47.31001312121141
536,7.049160723387856,47.43021730276852
537,7.227943242505378,47.54971715546345
538,7.4067257616229,47.66851899368675
539,7.585508280740422,47.786629022646856
540,7.764290799857944,47.904053340651295
541,7.943073318975466,48.02079794132174
542,8.121855838092987,48.136868715744974
543,8.30063835721051,48.25227145456191
544,8.479420876328032,48.36701184999685
545,8.658203395445554,48.48109549782912
546,8.836985914563076,48.594527899308616
547,9.015768433680597,48.70731446301755
548,9.194550952798119,48.81946050667986
549,9.373333471915641,48.93097125892013
550,9.552115991033164,49.041851860973665
551,9.730898510150686,49.15210736834912
552,9.909681029268206,49.26174275244549
553,10.088463548385729,49.37076290212463
554,10.267246067503251,49.47917262524086
555,10.446028586620773,49.586976650128875
556,10.624811105738296,49.69417962705152
557,10.803593624855816,49.80078612960825
558,10.982376143973339,49.90680065610586
559,11.16115866309086,50.012227630892404
560,11.339941182208383,50.11707140565551
561,11.518723701325905,50.221336260686115
562,11.697506220443426,50.32502640610865
563,11.876288739560948,50.428145983078714
564,12.055071258678483,50.53069906494907
565,12.233853777796005,50.63268965840505
566,12.412636296913528,50.73412170457014
567,12.59141881603105,50.834999080082504
568,12.77020133514857,50.935325598143564
569,12.948983854266093,51.0351050095391
570,13.127766373383615,51.134341003633864
571,13.306548892501137,51.233037209340296
572,13.48533141161866,51.33119719606219
573,13.66411393073618,51.428824474613805
574,13.842896449853702,51.525922498115385
575,14.021678968971225,51.62249466286528
576,14.200461488088747,51.71854430918975
577,14.37924400720627,51.81407472227083
578,14.55802652632379,51.909089132952616
579,14.736809045441312,52.00359071852706
580,14.915591564558834,52.09758260349918
581,15.094374083676357,52.19106786033282
582,15.273156602793877,52.28404951017684
583,15.4519391219114,52.376530523572775
584,15.630721641028922,52.468513821144114
585,15.809504160146444,52.56000227426758
586,15.988286679263966,52.65099870572715
587,16.167069198381487,52.741505890350986
588,16.34585171749901,52.83152655563176
589,16.52463423661653,52.921063382330765
590,16.703416755734054,53.010119005066166
591,16.882199274851576,53.09869601288577
592,17.0609817939691,53.18679694982473
593,17.23976431308662,53.27442431544837
594,17.418546832204143,53.36158056538063
595,17.59732935132166,53.44826811181827
596,17.776111870439184,53.53448932403141
597,17.954894389556706,53.62024652885029
598,18.13367690867423,53.705542011139
599,18.31245942779175,53.7903780142561
600,18.491241946909273,53.874756740502555
601,18.670024466026796,53.95868035155728
602,18.848806985144318,54.0421509689003
